Date,Forecasted Sales
2017-12-31,4578.516229025131
2018-01-01,2322.5103986077143
2018-01-02,1489.2484283983254
2018-01-03,1413.2590647921957
2018-01-04,1337.8090703460134
2018-01-05,1510.9735324840492
2018-01-06,1243.3664947298196
2018-01-07,2577.0186640605184
2018-01-08,2132.8712883728936
2018-01-09,1066.0215974833234
2018-01-10,733.8352634974442
2018-01-11,842.4175460589913
2018-01-12,1101.4255325521256
2018-01-13,1105.1016254581816
2018-01-14,1171.0297542480098
2018-01-15,1034.1243913960607
2018-01-16,906.662017686608
2018-01-17,833.8917593586561
2018-01-18,893.6721710300901
2018-01-19,1038.91745608702
2018-01-20,997.866812061862
2018-01-21,1087.8903151106151
2018-01-22,890.5538735411133
2018-01-23,885.3526619310895
2018-01-24,882.2758624547101
2018-01-25,1087.164290165066
2018-01-26,1351.9287018998493
2018-01-27,1211.3232883274898
2018-01-28,1306.9584481964675
2018-01-29,1426.661437160353
2018-01-30,1302.6905143509218
2018-01-31,1504.2979346057227
2018-02-01,1195.961230219287
2018-02-02,1547.185830151635
2018-02-03,1033.4191011112318
2018-02-04,1106.4133857005252
2018-02-05,1343.4887129458498
2018-02-06,793.547667855271
2018-02-07,738.0069236334941
2018-02-08,874.0846112800335
2018-02-09,966.4379814883011
2018-02-10,863.735328395876
2018-02-11,983.9979319067947
2018-02-12,1042.0372480550782
2018-02-13,879.1132995706447
2018-02-14,810.2430672174596
2018-02-15,812.1397292106611
2018-02-16,1025.4690233368547
2018-02-17,959.7317381979816
2018-02-18,1003.9387425456944
2018-02-19,1121.082338966969
2018-02-20,837.72777815165
2018-02-21,993.0364174869225
2018-02-22,946.2986554406997
2018-02-23,1040.5836631543543
2018-02-24,981.9759544114962
2018-02-25,1029.1349558519555
2018-02-26,1190.2567266353599
2018-02-27,910.3812540543929
2018-02-28,1097.6334177668018
2018-03-01,2235.5104906581496
2018-03-02,1758.5473010061487
2018-03-03,1943.0422114652422
2018-03-04,2028.7578634090669
2018-03-05,1773.0820263407427
2018-03-06,2040.471920544404
2018-03-07,1690.6605435413544
2018-03-08,2425.3979542781444
2018-03-09,1727.4877818864697
2018-03-10,2819.4535945642524
2018-03-11,1613.5716867209471
2018-03-12,1312.929335532211
2018-03-13,1143.9075364922608
2018-03-14,1090.4591382803292
2018-03-15,1320.4539274518227
2018-03-16,1250.5250879066782
2018-03-17,1415.4647264910482
2018-03-18,1208.6573976061125
2018-03-19,1065.1807826671125
2018-03-20,916.3174479400666
2018-03-21,886.0264559201793
2018-03-22,1112.2879172393984
2018-03-23,1387.7351102368984
2018-03-24,1446.871849219082
2018-03-25,1395.7106714283552
2018-03-26,1264.2377120473836
2018-03-27,1123.395770100088
2018-03-28,1176.515054862322
2018-03-29,1319.5562572473182
2018-03-30,1586.8952138344057
